TCT Pro-Elite Challenge (Colorado Cup) 2018,Club - Women ,7,7,2018
Molly Brown
00,Melissa Devlin
02,Jesse Shofner
03,Maggie Chen
04,Liza Minor
05,Nhi Nguyen
06,Samantha Peletier
07,Paige Applegate
10,Lauren Baecher
11,Dena Slattery
12,Liz Narmour
13,Alika Johnston
15,Sara Taggart
20,Kiera Lindgren
21,Chelsea Twohig
22,Allysha Dixon
24,Alex Hardesty
26,Lisa Pitcaithley
31,Carolyn Vlach
42,Lisi Lohre
44,Stacy Gaskill
47,Rebecca Miller
49,Claire Chastain
65,Megan Ives
91,Hannah Leathers
97,Sarah Pesch
b,r,e,a,k
Nemesis
00,Eileen Duffner
01,Allison Fish
02,Elizabeth Arakaki
04,Monica Matsumoto
05,Anna Thorn
06,Risa Umeno
08,Christina Sur
10,Emilie Willingham
11,Beth Daviess
12,Jennifer Corcoran
13,Jessica Sipperley
15,Danielle Blatt
17,Erika Danckers
18,Sarah Kim
19,Rachel Foster
22,Jessica LeDonne
23,Emily Hadel
25,MK Andersen
31,Abby Shure
32,Carol Li
72,Jacqueline Jarik
77,Sara Miller
84,Sarah Lipscomb
b,r,e,a,k
Underground
0,Akina Younge
01,Jessica Spaulding
02,Alexa Yadama
04,Nicole Cramer
05,Tiffany Phan
10,Julia Johnson
12,Katie Raynolds
15,Noel Hanzel
16,Alyssa Worsham
20,Sarah Naomi True
22,Elise Rasmussen
23,Anh-Thu Chang
24,Abby Hecko
25,Emma Kahle
27,Anne Silver
28,Nora Carr
31,Ikran Elmi
32,Michaela Fallon
33,Catherine (Cate) Roscoe
42,Madeline Stephenson
45,Alyssa Kelly
47,Amanda Kostic
51,Kate Crawford
77,Taylor Hartman
89,Sophia Scofield-Selby
b,r,e,a,k
LOL
 ,Jody Karol
00,Jessica Madding
00,Krystal  Barghelame
00,MALLORY MEISER
00,Alicia White
00,Alicia Dantzker
00,Arlie Stern
00,Carol Chen
00,Christina Contreras
00,Delia Chiu
00,Megan Andrews
00,Nicky Bloom
00,Remy Schor
03,Loryn Kanemaru
07,Abigail Edwards VanMuijen
15,Julia James
16,Jennifer Founds
22,Sarah Carnahan
64,Margaret Morrison
99,Bryn Martyna
b,r,e,a,k
Seattle Riot
 ,Calise Cardenas
 ,Kelly Johnson
 ,Lucia Williams
 ,Molly Sinnott
 ,Paige Soper
 ,Qxhna Titcomb
 ,Sarah Griffith
0,Samantha Rodenberg
10,Shira Stern
11,Nora Landri
14,Hana Kawai
15,Bailey Zahniser
16,Cassandra Swafford
17,Dominique Fontenette
18,Madeline Gilbert
20,Kristin (Charlie) Eide
21,Molly McKeon
22,Jack Verzuh
23,Aimie Kawai
24,Sarah Davis
25,Alyssa Weatherford
27,Julia Snyder
29,Lindsey Wilson
31,Stephanie Lim
37,Claire Trop
77,Jillian Goodreau
81,Charlie Mercer
b,r,e,a,k
Showdown
01,Katie Metzler
02,Elise Bjork
03,Domenica Sutherland
04,Cameron Bryan
05,Andrea Esparza
06,Ivy Harrison
07,Laura Reed
08,Elise Franke
09,Laura Landis
12,Anne Ortiz
13,Julia Schmaltz
16,Sarah Levinn
17,Marissa Land
18,Laura  Gerencser
19,Tiffany Schumacher
20,Michelle Landis
21,Valerie Pinillos
23,Lillian White
24,Susan Gilbert
28,Mindy Radike
30,Kayla Ramirez
31,Ashley Shelor
32,Rebecca Forth
46,Helen Eifert
55,Bethani Eberhart
95,Megan Mendieta
b,r,e,a,k
Rival
02,Nancy Haskell
03,Molly Barlow
05,Stephanie (Stevie) Miller
06,Corinn Pruitt
07,Sara Nitz
08,Becky Moore
09,Janine Walker
10,Kristen Smiach
12,Jessica Larson
14,Theresa Zettner
15,Brittany Wright
16,Sarah Craycraft
18,Caitlin Harley
20,Sophia Knowles
21,Mallory Griffith
22,Talia Barth
23,Nichole Kwee
30,Mackenzie Fazekas
38,Jennifer Perry
44,Grace Denney
66,Tia Esposito
75,Austine Lin
99,Iris Javersak
b,r,e,a,k
Wildfire
01,Sharon Tseng
02,Amy Halvorsen
04,Kristen Pojunis
05,Corey Atkins
07,Katie Ogden
08,Alexa Cohen
10,Christy Jarman
11,Melissa Dunn
14,Mei Bruist
15,Brittany Cabriales
16,Audrey Brown
20,Kelli Iwamoto
25,"Lily ""Thud"" Lin"
28,Stephanie Pritchard
37,Hannah Walter
44,Rayna Wachs
47,Dena Elimelech
50,Enway Melo
