Great Lakes Dev Men's Conferences,College - Men ,8,3,2026
Amherst,MA,2026-03-08,2026-03-08
https://play.usaultimate.org/events/Amherst-Emergency-Open/schedule/Men/CollegeMen/
Illinois (B),1
teamInfo,,,,,
b,r,e,a,k
Purdue (B),3
teamInfo,,,,,
b,r,e,a,k
Indiana (B),6
teamInfo,,,,,
b,r,e,a,k
Northwestern (B),8
teamInfo,,,,,
b,r,e,a,k
Illinois (C),9
teamInfo,,,,,
b,r,e,a,k
Michigan (B),2
teamInfo,,,,,
b,r,e,a,k
Michigan State (B),4
teamInfo,,,,,
b,r,e,a,k
Notre Dame (B),5
teamInfo,,,,,
b,r,e,a,k
Chicago (B),7
teamInfo,,,,,
b,r,e,a,k
Purdue (C),10
teamInfo,,,,,
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Illinois (B),Purdue (B),0,0,"04/11/2026, 09:00",Pool A,Scheduled
Indiana (B),Illinois (C),0,0,"04/11/2026, 09:00",Pool A,Scheduled
Illinois (B),Northwestern (B),0,0,"04/11/2026, 10:45",Pool A,Scheduled
Purdue (B),Illinois (C),0,0,"04/11/2026, 10:45",Pool A,Scheduled
Illinois (B),Indiana (B),0,0,"04/11/2026, 12:30",Pool A,Scheduled
Purdue (B),Northwestern (B),0,0,"04/11/2026, 12:30",Pool A,Scheduled
Northwestern (B),Illinois (C),0,0,"04/11/2026, 14:15",Pool A,Scheduled
Purdue (B),Indiana (B),0,0,"04/11/2026, 14:15",Pool A,Scheduled
Illinois (B),Illinois (C),0,0,"04/11/2026, 16:00",Pool A,Scheduled
Indiana (B),Northwestern (B),0,0,"04/11/2026, 16:00",Pool A,Scheduled
pool,Pool B
Michigan (B),Michigan State (B),0,0,"04/11/2026, 09:00",Pool B,Scheduled
Notre Dame (B),Purdue (C),0,0,"04/11/2026, 09:00",Pool B,Scheduled
Michigan (B),Chicago (B),0,0,"04/11/2026, 10:45",Pool B,Scheduled
Michigan State (B),Purdue (C),0,0,"04/11/2026, 10:45",Pool B,Scheduled
Michigan (B),Notre Dame (B),0,0,"04/11/2026, 12:30",Pool B,Scheduled
Michigan State (B),Chicago (B),0,0,"04/11/2026, 12:30",Pool B,Scheduled
Chicago (B),Purdue (C),0,0,"04/11/2026, 14:15",Pool B,Scheduled
Michigan State (B),Notre Dame (B),0,0,"04/11/2026, 14:15",Pool B,Scheduled
Michigan (B),Purdue (C),0,0,"04/11/2026, 16:00",Pool B,Scheduled
Notre Dame (B),Chicago (B),0,0,"04/11/2026, 16:00",Pool B,Scheduled
b,r,e,a,k
brackets,Bracket Play
bracket,Championship Bracket
bracket,3rd Place Bracket
bracket,5th Place Bracket
bracket,7th Place
bracket,9th Place Game
b,r,e,a,k
